web-scraper-order,web-scraper-start-url,chord_root,chord_root-href,chord_name,chord_name-href,variations
"1692050165-12","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor6


View G#minor6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor6","<h3 class=""font-dinish text-24"">G#minor6 Variation 2</h3><div class=""frets""><div class=""fret"">1</div><div class=""fret"">2</div><div class=""fret"">3</div><div class=""fret"">4</div><div class=""fret"">5</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">0</div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-1 chord-string-4 chord-click"">2</div><div class=""chord-fret-1 chord-string-6 chord-click"">3</div></div></div>"
"1692050165-13","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor6


View G#minor6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor6","<h3 class=""font-dinish text-24"">G#minor6 Variation 3</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-1 chord-click"">1</div><div class=""chord-fret-3 chord-string-2 chord-click"">2</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-3 chord-string-5 chord-click"">4</div><div class=""chord-fret-1 chord-string-6 chord-click"">1</div></div></div>"
"1692050165-14","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor6


View G#minor6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor6","<h3 class=""font-dinish text-24"">G#minor6 Variation 4</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-1 chord-click"">1</div><div class=""chord-fret-3 chord-string-2 chord-click"">2</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-3 chord-string-5 chord-click"">4</div><div class=""chord-fret-1 chord-string-6 chord-click"">1</div></div></div>"
"1692050165-15","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor6


View G#minor6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor6","<h3 class=""font-dinish text-24"">G#minor6 Variation 5</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-1 chord-click"">1</div><div class=""chord-fret-3 chord-string-2 chord-click"">2</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-3 chord-string-5 chord-click"">4</div><div class=""chord-fret-1 chord-string-6 chord-click"">1</div></div></div>"
"1692050168-16","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#5


View G#5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_5","<h3 class=""font-dinish text-24"">G#5 Variation 1</h3><div class=""frets""><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div><div class=""fret"">15</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div></div></div>"
"1692050168-17","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#5


View G#5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_5","<h3 class=""font-dinish text-24"">G#5 Variation 2</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-1 chord-click"">1</div><div class=""chord-fret-3 chord-string-2 chord-click"">3</div></div></div>"
"1692050168-18","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#5


View G#5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_5","<h3 class=""font-dinish text-24"">G#5 Variation 3</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-3 chord-string-4 chord-click"">3</div></div></div>"
"1692050168-19","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#5


View G#5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_5","<h3 class=""font-dinish text-24"">G#5 Variation 4</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-3 chord-string-4 chord-click"">3</div></div></div>"
"1692050168-20","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#5


View G#5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_5","<h3 class=""font-dinish text-24"">G#5 Variation 5</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-3 chord-string-4 chord-click"">3</div></div></div>"
"1692050171-21","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#6/9


View G#6/9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_6_9","<h3 class=""font-dinish text-24"">G#6/9 Variation 1</h3><div class=""frets""><div class=""fret"">10</div><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-2 chord-click"">2</div><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">3</div></div></div>"
"1692050171-22","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#6/9


View G#6/9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_6_9","<h3 class=""font-dinish text-24"">G#6/9 Variation 2</h3><div class=""frets""><div class=""fret"">3</div><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-1 chord-click"">2</div><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">4</div></div></div>"
"1692050171-23","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#6/9


View G#6/9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_6_9","<h3 class=""font-dinish text-24"">G#6/9 Variation 3</h3><div class=""frets""><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-3 chord-click"">2</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">4</div></div></div>"
"1692050171-24","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#6/9


View G#6/9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_6_9","<h3 class=""font-dinish text-24"">G#6/9 Variation 4</h3><div class=""frets""><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-3 chord-click"">2</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">4</div></div></div>"
"1692050171-25","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#6/9


View G#6/9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/_6_9","<h3 class=""font-dinish text-24"">G#6/9 Variation 5</h3><div class=""frets""><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-3 chord-click"">2</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">4</div></div></div>"
"1692050174-26","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add9


View G#add9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add9","<h3 class=""font-dinish text-24"">G#add9 Variation 1</h3><div class=""frets""><div class=""fret"">10</div><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-2 chord-click"">2</div><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div></div></div>"
"1692050174-27","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add9


View G#add9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add9","<h3 class=""font-dinish text-24"">G#add9 Variation 2</h3><div class=""frets""><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div><div class=""fret"">15</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-3 chord-string-3 chord-click"">2</div><div class=""chord-fret-5 chord-string-4 chord-click"">4</div><div class=""chord-fret-3 chord-string-5 chord-click"">3</div></div></div>"
"1692050174-28","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add9


View G#add9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add9","<h3 class=""font-dinish text-24"">G#add9 Variation 3</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-2 chord-string-4 chord-click"">2</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050174-29","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add9


View G#add9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add9","<h3 class=""font-dinish text-24"">G#add9 Variation 4</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-2 chord-string-4 chord-click"">2</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050174-30","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add9


View G#add9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add9","<h3 class=""font-dinish text-24"">G#add9 Variation 5</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-2 chord-string-4 chord-click"">2</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050177-31","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add6


View G#add6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add6","<h3 class=""font-dinish text-24"">G#add6 Variation 1</h3><div class=""frets""><div class=""fret"">9</div><div class=""fret"">10</div><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-2 chord-click"">4</div><div class=""chord-fret-2 chord-string-3 chord-click"">2</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div></div></div>"
"1692050177-32","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#add6


View G#add6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/add6","<h3 class=""font-dinish text-24"">G#add6 Variation 2</h3><div class=""frets""><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div><div class=""fret"">15</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-3 chord-string-4 chord-click"">3</div><div class=""chord-fret-3 chord-string-5 chord-click"">3</div><div class=""chord-fret-3 chord-string-6 chord-click"">3</div></div></div>"
